"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.558242245E0,1.719360473E-3,1.700000000E1,1.347510219E-1,1.700053413E1
1.568242245E0,1.368036028E-3,1.700000000E1,1.198697686E-1,1.700042266E1
1.578242245E0,1.355260611E-3,1.700000000E1,1.029689312E-1,1.700031189E1
1.588242245E0,1.357389847E-3,1.700000000E1,8.488637209E-2,1.700021199E1
1.598242245E0,1.366971410E-3,1.700000000E1,6.503334641E-2,1.700012445E1
1.608242245E0,1.376552973E-3,1.700000000E1,4.493971914E-2,1.700005945E1
1.618242245E0,1.384005300E-3,1.700000000E1,2.368671820E-2,1.700001656E1
1.628242245E0,1.390393008E-3,1.700000000E1,3.383360803E-3,1.700000039E1
1.638242245E0,1.397845335E-3,1.700000000E1,-1.543485280E-2,1.700000706E1
1.648242245E0,1.405297662E-3,1.700000000E1,-3.201097995E-2,1.700003020E1
1.658242245E0,1.394651481E-3,1.700000000E1,-4.894268513E-2,1.700007051E1
1.668242245E0,1.387199154E-3,1.700000000E1,-6.448186934E-2,1.700012235E1
1.678242245E0,1.391457627E-3,1.700000000E1,-8.166696131E-2,1.700019622E1
1.688242245E0,1.388263772E-3,1.700000000E1,-9.303496778E-2,1.700025463E1
1.698242245E0,1.049714861E-3,1.700000000E1,-1.040665507E-1,1.700031855E1
1.708242245E0,6.994549767E-4,1.700000000E1,-1.162532568E-1,1.700039750E1
1.718242245E0,3.630352439E-4,1.700000000E1,-1.306447834E-1,1.700050200E1
1.728242245E0,1.809853165E-5,1.700000000E1,-1.460349262E-1,1.700062723E1
1.738242245E0,-3.236443154E-4,1.700000000E1,-1.632551402E-1,1.700078387E1
1.748242245E0,-6.760333781E-4,1.700000000E1,-1.818401963E-1,1.700097251E1
1.758242245E0,-1.015646965E-3,1.700000000E1,-2.024874389E-1,1.700120590E1
1.768242245E0,-1.018840820E-3,1.700000000E1,-2.245208025E-1,1.700148260E1
1.778242245E0,-1.008194638E-3,1.700000000E1,-2.494062781E-1,1.700182945E1
1.788242245E0,-1.008194638E-3,1.700000000E1,-2.760728598E-1,1.700224154E1
1.798242245E0,-1.006065402E-3,1.700000000E1,-3.031748831E-1,1.700270320E1
1.808242245E0,-1.014582347E-3,1.700000000E1,-3.297371268E-1,1.700319757E1
1.818242245E0,-1.020970056E-3,1.700000000E1,-3.561109602E-1,1.700372947E1
