"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.638192780E-1,3.101196289E-1,8.983520508E0,4.111022949E0,9.884347454E0
5.662942780E-1,1.697387695E-1,8.965759277E0,4.005554199E0,9.821309236E0
5.687692780E-1,5.038452148E-2,8.936645508E0,3.884399414E0,9.744471784E0
5.712442780E-1,-7.440185547E-2,8.880218506E0,3.763580322E0,9.645120693E0
5.737192780E-1,-1.709594727E-1,8.822692871E0,3.638946533E0,9.545211811E0
5.761942780E-1,-2.541503906E-1,8.766906738E0,3.490203857E0,9.439532252E0
5.787192780E-1,-2.852172852E-1,8.741546631E0,3.348114014E0,9.365140354E0
5.811942780E-1,-2.528991699E-1,8.730987549E0,3.215301514E0,9.307645534E0
5.836692780E-1,-2.242126465E-1,8.752471924E0,3.057342529E0,9.273800700E0
5.861442780E-1,-1.620178223E-1,8.786712646E0,2.899078369E0,9.254038270E0
5.886192780E-1,-9.750366211E-2,8.853515625E0,2.757537842E0,9.273524726E0
5.910942780E-1,-2.249145508E-2,8.939483643E0,2.590820312E0,9.307374686E0
5.935692780E-1,4.537963867E-2,9.045898438E0,2.432281494E0,9.367301165E0
5.960942780E-1,1.181030273E-1,9.145599365E0,2.298675537E0,9.430792400E0
5.985692780E-1,1.444396973E-1,9.226593018E0,2.175903320E0,9.480793047E0
6.010442780E-1,1.386718750E-1,9.290710449E0,2.082702637E0,9.522299135E0
6.035258930E-1,1.677856445E-1,9.327880859E0,2.003479004E0,9.542087899E0
6.060008930E-1,1.830444336E-1,9.361999512E0,1.935699463E0,9.561771412E0
6.084758930E-1,1.891479492E-1,9.385925293E0,1.881835938E0,9.574584954E0
6.109508930E-1,1.939392090E-1,9.419097900E0,1.833526611E0,9.597855881E0
6.134758930E-1,1.840515137E-1,9.451477051E0,1.790618896E0,9.621362140E0
6.159508930E-1,1.619567871E-1,9.487915039E0,1.734893799E0,9.646585836E0
6.184258930E-1,1.412658691E-1,9.516662598E0,1.690490723E0,9.666673778E0
6.209071430E-1,1.145629883E-1,9.548004150E0,1.625183105E0,9.686006817E0
6.233821430E-1,3.784179688E-3,9.592834473E0,1.559509277E0,9.718773417E0
6.258571430E-1,-1.300048828E-1,9.640075684E0,1.498657227E0,9.756737874E0
6.283321430E-1,-2.932434082E-1,9.697967529E0,1.427947998E0,9.806915997E0
6.308571430E-1,-4.457397461E-1,9.730102539E0,1.387725830E0,9.838666694E0
6.333321430E-1,-5.816650391E-1,9.739776611E0,1.369110107E0,9.852717653E0
6.358071430E-1,-7.323913574E-1,9.739624023E0,1.379852295E0,9.864109974E0
6.382821430E-1,-8.546752930E-1,9.737335205E0,1.406066895E0,9.875383074E0
6.408071430E-1,-9.631347656E-1,9.731842041E0,1.463867188E0,9.888340874E0
6.432821430E-1,-1.009704590E0,9.722137451E0,1.553009033E0,9.897034760E0
6.457571430E-1,-1.008789062E0,9.715911865E0,1.668395996E0,9.909598576E0
6.482321430E-1,-1.008850098E0,9.695312500E0,1.788482666E0,9.910375030E0
6.507071430E-1,-9.971313477E-1,9.694854736E0,1.889038086E0,9.927383551E0
6.531821430E-1,-9.974975586E-1,9.720214844E0,1.957733154E0,9.965455187E0
6.556571430E-1,-9.764709473E-1,9.754760742E0,1.991271973E0,1.000370015E1
6.581557890E-1,-9.836120605E-1,9.795745850E0,2.005157471E0,1.004712824E1
6.606307890E-1,-9.917907715E-1,9.841125488E0,1.995758057E0,1.009031466E1
6.631057890E-1,-9.914855957E-1,9.894927979E0,1.954742432E0,1.013477485E1
6.655807890E-1,-1.017425537E0,9.930358887E0,1.891296387E0,1.015993033E1
6.681057890E-1,-1.026092529E0,9.972625732E0,1.796661377E0,1.018499494E1
6.705807890E-1,-1.069427490E0,9.998077393E0,1.693237305E0,1.019667982E1
6.730557890E-1,-1.084686279E0,1.001986694E1,1.597656250E0,1.020425320E1
6.755416220E-1,-1.106109619E0,1.003421021E1,1.484954834E0,1.020362405E1
6.780166220E-1,-1.119873047E0,1.003363037E1,1.358245850E0,1.018688794E1
6.804916220E-1,-1.124908447E0,1.001956177E1,1.240631104E0,1.015855317E1
6.829666220E-1,-1.143066406E0,9.981475830E0,1.137969971E0,1.011095625E1
6.854916220E-1,-1.142089844E0,9.935760498E0,1.035552979E0,1.005465444E1
6.879666220E-1,-1.142578125E0,9.876373291E0,9.496154785E-1,9.987492364E0
6.904416220E-1,-1.142211914E0,9.818267822E0,8.655090332E-1,9.922305023E0
6.929279760E-1,-1.156768799E0,9.749420166E0,7.734375000E-1,9.848223860E0
