"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
9.391120440E-1,1.112740301E-2,4.084572196E-1,-6.699395180E-1,7.847165584E-1
9.491120440E-1,1.704988070E-2,3.671318889E-1,-6.905217767E-1,7.822383565E-1
9.591120440E-1,2.078243718E-2,3.196424246E-1,-7.096231580E-1,7.785680546E-1
9.691120440E-1,1.881927811E-2,2.737094164E-1,-7.253625393E-1,7.755139091E-1
9.791120440E-1,1.901410334E-2,2.336584181E-1,-7.398785949E-1,7.761302259E-1
9.891120440E-1,1.630997099E-2,2.028142661E-1,-7.528648376E-1,7.798750576E-1
9.991120440E-1,1.352066733E-2,1.805658489E-1,-7.641466260E-1,7.853068829E-1
1.009112044E0,1.566268131E-2,1.671026796E-1,-7.739389539E-1,7.919281088E-1
1.019112044E0,1.971036568E-2,1.597504169E-1,-7.835705876E-1,7.999322221E-1
1.029112044E0,2.521870658E-2,1.615751684E-1,-7.930914760E-1,8.097756525E-1
1.039112044E0,2.981573343E-2,1.697642207E-1,-8.028050661E-1,8.210997764E-1
1.049112044E0,3.486948088E-2,1.780320555E-1,-8.127081394E-1,8.327099215E-1
1.059112044E0,3.870530427E-2,1.865490079E-1,-8.226516843E-1,8.444255009E-1
1.069112044E0,4.195665196E-2,1.905243099E-1,-8.339813948E-1,8.564956743E-1
1.079112044E0,4.339921474E-2,1.894799173E-1,-8.458369970E-1,8.678861426E-1
1.089112044E0,4.390490800E-2,1.791616231E-1,-8.584538102E-1,8.780486731E-1
1.099112044E0,4.276470095E-2,1.701421589E-1,-8.706085682E-1,8.881083565E-1
1.109112044E0,4.075044021E-2,1.563436240E-1,-8.838428259E-1,8.984887690E-1
1.119112044E0,3.699765727E-2,1.342400014E-1,-8.964276910E-1,9.071779372E-1
1.129112044E0,3.145099059E-2,1.039302796E-1,-9.090477228E-1,9.155099290E-1
1.139112044E0,2.618964016E-2,6.486939639E-2,-9.210161567E-1,9.236691489E-1
1.149112044E0,1.945804991E-2,1.991796680E-2,-9.322766066E-1,9.326923460E-1
1.159112044E0,1.351853833E-2,-3.227394074E-2,-9.419338107E-1,9.425835039E-1
1.169112044E0,6.328098010E-3,-8.904051781E-2,-9.502974749E-1,9.544807747E-1
1.179112044E0,-1.171081458E-4,-1.523566246E-1,-9.568278193E-1,9.688818456E-1
1.189112044E0,-7.164889015E-3,-2.157046795E-1,-9.621849656E-1,9.860931763E-1
