"Time (s)","Velocity (m/s)","Gyroscope y (rad/s)"
5.566261359E0,-8.310769081E-1,-1.662153816E1
5.606261359E0,-8.376872063E-1,-1.675374413E1
5.646261359E0,-8.384037018E-1,-1.676807404E1
5.686261359E0,-8.336532593E-1,-1.667306519E1
5.726261359E0,-8.181880951E-1,-1.636376190E1
5.766261359E0,-7.865062237E-1,-1.573012447E1
5.806261359E0,-7.464418411E-1,-1.492883682E1
5.846261359E0,-7.082051277E-1,-1.416410255E1
5.886261359E0,-6.699195862E-1,-1.339839172E1
5.926261359E0,-6.347395420E-1,-1.269479084E1
5.966261359E0,-5.995446682E-1,-1.199089336E1
6.006261359E0,-5.676611423E-1,-1.135322285E1
6.046261359E0,-5.438567162E-1,-1.087713432E1
6.086261359E0,-5.202732563E-1,-1.040546513E1
6.126261359E0,-4.985587597E-1,-9.971175194E0
6.166261359E0,-4.770680428E-1,-9.541360855E0
6.206261359E0,-4.537358761E-1,-9.074717522E0
6.246261359E0,-4.241079330E-1,-8.482158661E0
6.286261359E0,-3.912324429E-1,-7.824648857E0
6.326261359E0,-3.583290339E-1,-7.166580677E0
6.366261359E0,-3.267823458E-1,-6.535646915E0
6.406261359E0,-2.940673351E-1,-5.881346703E0
6.446261359E0,-2.638624668E-1,-5.277249336E0
6.486261359E0,-2.342164993E-1,-4.684329987E0
6.526261359E0,-2.119359732E-1,-4.238719463E0
6.566261359E0,-2.053918123E-1,-4.107836246E0
6.606261359E0,-2.080354929E-1,-4.160709858E0
6.646261359E0,-2.075000286E-1,-4.150000572E0
6.686261359E0,-2.059269428E-1,-4.118538857E0
6.726261359E0,-2.001489878E-1,-4.002979755E0
6.766261359E0,-1.935476661E-1,-3.870953321E0
6.806261359E0,-1.847104192E-1,-3.694208384E0
6.846261359E0,-1.736781359E-1,-3.473562717E0
6.886261359E0,-1.602365136E-1,-3.204730272E0
6.926261359E0,-1.451071024E-1,-2.902142048E0
6.966261359E0,-1.289833903E-1,-2.579667807E0
7.006261359E0,-1.118360996E-1,-2.236721992E0
7.046261359E0,-9.531266689E-2,-1.906253338E0
7.086261359E0,-7.899226546E-2,-1.579845309E0
7.126261359E0,-6.321859360E-2,-1.264371872E0
7.166261359E0,-5.009279251E-2,-1.001855850E0
7.206261359E0,-4.000163972E-2,-8.000327945E-1
7.246261359E0,-3.159785271E-2,-6.319570541E-1
7.286261359E0,-2.477843314E-2,-4.955686629E-1
7.326261359E0,-1.854167879E-2,-3.708335757E-1
7.366261359E0,-1.306373328E-2,-2.612746656E-1
7.406261359E0,-8.134810627E-3,-1.626962125E-1
7.446261359E0,-4.506214708E-3,-9.012429416E-2
7.486261359E0,-1.086071599E-3,-2.172143199E-2
7.526261359E0,1.479714643E-3,2.959429286E-2
7.566261359E0,3.331939504E-3,6.663879007E-2
7.606261359E0,4.471987486E-3,8.943974972E-2
7.646261359E0,5.028251186E-3,1.005650237E-1
7.686261359E0,4.146054015E-3,8.292108029E-2
7.726261359E0,2.677624486E-3,5.355248973E-2
